,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,strength,switching_ratio,Stalk_angle,mem_layer
61,30,1,6.531517625,0.970725907,13.45143727,4.973881641,11.66215015,19.71792221,1.082416737,21.18975985,5
62,30,1,2.32735511,1.734585275,11.73930053,6.995884375,12.14583885,14.76079845,0.990589926,-22.80315356,5
63,30,1,8.992779567,0.473374126,18.16918114,4.066719044,11.52617039,30.18708229,1.140650972,14.62209707,5
64,30,1,5.297510117,2.039377619,14.61238617,8.463322659,12.08061339,22.66262245,0.959165787,-39.13244562,5
65,30,1,6.388733869,1.862607386,13.36297125,6.536359522,14.53461073,19.59113121,0.980045473,-9.687954575,5
66,30,1,6.052952413,2.781805731,19.76040937,3.402940277,13.48824348,40.55941772,0.993928036,-7.40675734,5
68,30,1,5.512069512,0.381832419,18.81482127,4.86854819,11.13153663,34.92505646,1.095372904,17.41798214,5
70,30,1,4.567535743,0.959056236,19.9179777,2.909223663,11.25317215,41.71677017,1.015971746,38.6647224,5
71,30,1,8.499648451,2.044461481,17.57825539,6.005423242,13.50810098,33.20208359,0.966335411,-28.75756306,5
72,30,1,7.011333031,0.579164416,13.57368488,7.091847801,11.1498938,17.59780693,1.120867521,37.56095087,5
73,30,1,5.578389235,1.053321254,16.65395188,9.848980412,12.53221063,29.72316742,1.032132924,5.980016044,5
74,30,1,5.990222332,0.106955093,17.30911133,6.844897208,14.67422288,28.13192177,1.038758932,28.88898182,5
75,30,1,7.066920488,2.716134976,13.09582087,6.965956144,11.63604,18.47426987,0.978924176,40.92404191,5
76,30,1,8.791090366,0.041936274,18.2294107,2.49297285,11.82964827,28.83920479,1.095932884,8.946835093,5
77,30,1,1.963379537,2.322618899,19.04067884,6.381552347,13.83821096,37.38962555,0.996340015,-27.98185777,5
78,30,1,3.554254372,1.435477411,13.97981355,6.603424447,14.51157081,20.98670006,0.990058452,-32.03984035,5
79,30,1,2.296558599,1.731547551,16.97587175,2.88253703,14.93637409,30.031847,0.999339225,14.77122953,5
80,30,1,6.883280934,2.68847745,15.15614591,2.994241176,12.07560871,24.51362228,0.97850065,49.91080211,5
81,30,1,5.290355004,2.55049069,15.25651055,5.090927007,12.19331852,24.71260071,0.994418784,14.90978267,5
82,30,1,9.950407372,2.969391691,16.74262391,8.654058272,14.80596437,29.6048584,0.959473329,41.68348956,5
83,30,1,4.613927412,0.704300854,16.23837464,3.598442337,14.34819032,27.3879509,1.027237452,-2.294889893,5
84,30,1,4.454417581,2.582710336,17.69079225,5.016788684,11.54869255,32.6684494,0.99307559,-18.69690392,5
85,30,1,6.636186533,0.038528065,18.58638401,2.047065153,13.46921114,32.84759521,1.045847276,3.759752718,5
87,30,1,4.238961001,2.380502202,12.07608046,5.574492614,13.8524749,15.69150066,0.993303093,0.254140046,5
89,30,1,4.714588055,1.72423649,16.73828044,5.482117637,14.43696372,29.77679253,0.985636637,-32.44096978,5
90,30,1,4.945360005,2.542999377,16.65166412,3.92352664,13.7150236,29.14404869,0.994922598,-2.595536363,5
91,30,1,9.314374338,0.760427213,15.88321097,5.548529247,13.09923079,25.24923897,1.153691723,43.60257322,5
92,30,1,8.513520734,0.89355441,14.93138266,2.18972846,11.62356774,23.65298843,1.126330839,11.91750457,5
93,30,1,0.540511261,1.506947794,17.09046548,3.776272421,13.9762581,30.07967949,0.999701809,-18.93358927,5
94,30,1,7.720736893,0.8138516,18.44720001,6.954803626,11.66475255,35.3054657,1.064554807,27.09636591,5
95,30,1,5.605461887,1.054291855,17.01737071,6.319329549,11.31093211,30.98232841,1.032153284,14.76646738,5
96,30,1,6.003168031,1.036540249,18.22919876,7.372525621,13.89252439,35.14091873,1.003441139,-47.6613259,5
97,30,1,7.135517597,2.460543202,13.12668394,8.7229394,11.50519607,18.69659424,0.978548579,-10.63662037,5
98,30,1,5.697942461,1.857218169,13.86198809,3.808069348,12.6358717,20.89119148,0.982840361,-20.22494386,5
99,30,1,7.082004866,0.555831725,13.56885087,9.408746133,13.04074393,17.50887871,1.110432424,-0.965616407,5
100,30,1,6.545606266,2.236046273,15.43267155,3.049700722,12.07982482,25.50143051,0.988580022,-3.37600831,5
101,30,1,4.776029109,1.153922674,11.2897522,2.275320078,14.01540724,14.40407372,1.057091156,-41.16968929,5
102,30,1,7.77818918,0.716832992,11.24496713,2.273043908,12.26816523,11.76498508,1.17887092,-6.491295387,5
103,30,1,9.273567657,0.588046159,15.67261709,5.391366145,14.40725014,22.51571083,1.151335991,-18.90897355,5
104,30,1,1.205403667,2.447681492,17.93357155,5.093418407,12.17422813,33.12356949,0.99877361,-22.27765739,5
105,30,1,5.503183684,0.40011745,15.8414325,3.249739322,12.10334272,24.47270012,1.1276574,28.25239699,5
107,30,1,9.804255477,0.570338158,17.47123994,3.934426783,14.72299763,27.97934341,1.151343669,37.58908248,5
108,30,1,4.145105326,1.51382269,18.69102958,6.904462551,11.73747419,36.69831848,0.987654225,-39.09701415,5
109,30,1,3.64499354,0.671728419,18.1568884,7.483369256,13.57639608,34.20324326,0.996624814,-48.2033562,5
110,30,1,7.053625458,1.144600702,17.45068801,2.384004141,11.57989582,33.13562775,1.05026926,24.09645575,5
112,30,1,6.226657584,1.788772432,17.11288226,5.930613914,13.42283884,31.34229851,0.981200767,-25.39067807,5
113,30,1,5.084091455,0.215333764,12.77604822,2.373373617,14.05778151,15.44081783,1.052367035,-9.35404856,5
114,30,1,8.835547127,0.066579163,19.54902388,3.225119209,11.00387392,33.24011612,1.083410799,28.12174836,5
116,30,1,4.995370008,2.047199782,19.53494018,5.187622446,12.47134035,40.00240326,0.980921386,-47.00767902,5
117,30,1,3.319173362,0.8523412,19.8781551,6.002763214,14.80243706,41.06734085,1.002065554,-40.95688392,5
118,30,1,6.898130089,0.251083588,16.37284424,8.344564849,13.12919806,23.92843437,1.101178712,34.69526012,5
119,30,1,7.296392082,0.41770018,19.19202522,5.455960266,12.07116923,35.11846924,1.148970611,27.09038961,5
120,30,1,2.427714055,2.403541796,18.11790334,8.828692605,14.29494088,33.99188614,0.988565251,-35.97778369,5
121,30,1,4.186070231,2.073599611,18.68372603,5.634202056,11.0838259,36.44153976,0.997170262,14.57633571,5
122,30,1,8.140962208,0.589432981,18.55350315,7.984577796,12.97086867,33.60389709,1.069011186,-13.86252388,5
123,30,1,4.542546299,1.834514405,19.22726886,2.6174797,12.72604219,38.52713394,0.993923966,-27.62715341,5
124,30,1,4.285350579,2.957149416,17.22776206,9.801458827,13.90584876,30.88769913,0.983570763,-31.36855424,5
125,30,1,1.819978295,0.805787102,18.98135229,5.656155585,13.12704896,37.26171112,1.002239355,15.99172606,5
126,30,1,3.225278232,1.094121494,18.27531522,4.696935682,11.57969469,34.97161102,1.007355733,17.96162534,5
127,30,1,6.369495298,2.394413104,18.72225122,9.598496432,11.60429482,37.0562973,0.993690215,33.5092185,5
