,Pressures,P_prime,P_star,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,Stalk_angle,mem_layer,Negative Pressure Adh Force,Pos Pressure Adh Force,Neutral Pressure Adh Force,switching_ratio
183,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.0007509403,0.3674697895,15,5.6380253669,12.3518661321,-34.7388846689,10,4.1931929588,0.3063960373,3.2930746078,13.6855326042
184,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.9751211948,2.5062219813,15,8.146091851,14.6222024376,-48.9745605174,10,4.8660311699,1.4369777441,4.0717740059,3.3862954314
185,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.6661631596,2.9416586121,15,8.1360389025,11.291663726,35.2769328662,10,4.1257123947,1.6159344912,3.2881343365,2.5531433466
186,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.456985905,0.8943102864,15,6.2019634216,14.7451960674,-3.7064538765,10,4.2469029427,1.0899857283,3.661765337,3.8962922473
187,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.6881542676,1.3002141412,15,9.2037748758,13.621025514,-4.1214820935,10,4.6609888077,1.8112556934,4.282497406,2.5733466703
188,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.981880618,1.2484065978,15,8.204497423,11.3673620134,17.0776488802,10,4.4624066353,1.7301461697,3.9679620266,2.5792078805
189,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.9138223185,1.0694315174,15,6.7717053487,12.0340065987,-22.6794428555,10,4.7659020424,1.5639469624,4.2684874535,3.0473552858
190,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.7270177029,2.7811529606,15,2.9962557026,13.867397489,-10.7711758029,10,4.7313189507,2.0542869568,4.21179533,2.3031441323
191,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.7849566203,1.838514507,15,3.5020653911,11.2894283404,11.8836417913,10,2.7051613331,1.2805244923,3.4007849693,2.1125416573
192,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,3.7983779209,2.1906764269,15,5.9410512979,12.2006719479,13.5319675825,10,4.9293637276,2.4864583015,4.7737298012,1.9824839711
193,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.9760112298,0.637320129,15,3.7112201192,12.6846641055,8.7548416568,10,4.6908807755,1.8853290081,4.3408994675,2.4880966427
194,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.8860221925,1.9824544852,15,2.2778265124,12.4810602259,23.0454324989,10,2.4387848377,1.6067912579,3.6362268925,1.5177981743
195,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.6563792442,1.4301930148,15,6.664935546,11.4001812647,24.9189689384,10,4.0743560791,1.2127581835,3.288793087,3.3595783023
196,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.3198023087,2.1444670783,15,8.8228102856,14.3582495943,5.2383411555,10,4.8189959526,2.2783434391,4.5373506546,2.1151314898
